序号,Id,昵称,所在地,类型,节点,层级,关注数,粉丝数,Label,Source,Target
1432,2161335837,十万伏特QAQ,,0,1,1,393,435,十万伏特QAQ,2161335837,1323527941
1431,1305307507,大雷人寺方丈,北京 昌平区,0,1,1,160,83,大雷人寺方丈,1305307507,1323527941
1430,3246006482,Byun白云Byun,云南 昆明,0,1,1,237,57,Byun白云Byun,3246006482,1323527941
1429,3196093052,昨晚我数到第二十五颗星星,山东,0,1,1,163,338,昨晚我数到第二十五颗星星,3196093052,1323527941
1428,1916781041,法治最前线,,0,1,1,392,23571,法治最前线,1916781041,1323527941
1724,3223910360,感悟人生0316,广西 南宁,0,1428,2,1234,1914,感悟人生0316,3223910360,1916781041
1723,5778650270,用户5778650270凤凰,,0,1428,2,32,1,用户5778650270凤凰,5778650270,1916781041
1427,2117974351,匹夫者亦勇,云南 普洱,0,1,1,53,91,匹夫者亦勇,2117974351,1323527941
1426,3142172701,臺灣憂鬱烏龜,江苏 苏州,0,1,1,480,290,臺灣憂鬱烏龜,3142172701,1323527941
1424,2331359691,我最爱说真话,,0,1,1,170,257,我最爱说真话,2331359691,1323527941
1423,2123083904,kehlehfehhfl,其他,0,1,1,777,78,kehlehfehhfl,2123083904,1323527941
1422,2663001273,西夏牧人,,0,1,1,168,34,西夏牧人,2663001273,1323527941
1420,5286251104,鲜橙多爱酸奶,,0,1,1,58,4,鲜橙多爱酸奶,5286251104,1323527941
1419,1960511523,蔫儿sakura,,0,1,1,720,730,蔫儿sakura,1960511523,1323527941
1734,1564018960,星凉子_矢的猛手心中的Yullian,,0,1419,2,3606,2927,星凉子_矢的猛手心中的Yullian,1564018960,1960511523
1740,1825475253,七月黎,山东 济宁,0,1734,3,153,701,七月黎,1825475253,1564018960
1739,1656481735,我是高斯老婆相叶语涓,江苏 常州,0,1734,3,321,441,我是高斯老婆相叶语涓,1656481735,1564018960
1741,2023837451,阿福不是大福不能吃,江苏 南京,0,1739,4,258,75,阿福不是大福不能吃,2023837451,1656481735
1738,2080209427,羡德邪魅狂狷一笑,,0,1734,3,904,1075,羡德邪魅狂狷一笑,2080209427,1564018960
1743,1737433447,二柱黑,山东 威海,0,1738,4,539,239,二柱黑,1737433447,2080209427
1742,1757197675,云娘好美色则慕少艾,,0,1738,4,649,609,云娘好美色则慕少艾,1757197675,2080209427
1733,1686555980,抖M饭团-office平社員,,0,1419,2,763,939,抖M饭团-office平社員,1686555980,1960511523
1745,1561369774,寶-楽楽身陷中,海外,0,1733,3,79,865,寶-楽楽身陷中,1561369774,1686555980
1746,1456723437,吃女孩的布丁,,0,1745,4,164,1412,吃女孩的布丁,1456723437,1561369774
1418,1923619481,獅子和我擁抱,黑龙江 哈尔滨,0,1,1,521,423,獅子和我擁抱,1923619481,1323527941
1414,5394039845,piapia家的小可爱,江苏 南京,0,1,1,329,112,piapia家的小可爱,5394039845,1323527941
